MÔN HỌC,111125- Đại số tuyến tính,211100- Định hướng nghề nghiệp,921204- Giáo dục quốc phòng và an ninh,"921113- Giáo dục thể chất 1_x000D_
",221104- Kiến trúc máy tính,"211132_x000D_
- Lập trình Python cơ bản (2+1*)",911602- Pháp luật đại cương,211131- Cấu trúc dữ liệu và giải thuật (2+1*),211002- Cơ sở kỹ thuật lập trình (2+1*),111126- Giải tích,921114- Giáo dục thể chất 2,221190- Hệ điều hành (2+1*),711170- Kỹ năng mềm,231005- Mạng máy tính (2+1*),911102- Triết học Mác - Lênin,231027- Cơ sở dữ liệu,111209- Giải tích số,921115- Giáo dục thể chất 3,911203- Kinh tế chính trị Mác - Lênin,211460- Lập trình hướng đối tượng (2+1*),231028- Lập trình ứng dụng Windows Form (2+1*),221134- Phân tích thiết kế thuật toán,711136- Tâm lý học kỹ sư,"151100_x000D_
- Tiếng Anh tăng cường_x000D_
",211205- Công nghệ phần mềm (2+1*),221052- Đồ án 1,211156- Hệ quản trị cơ sở dữ liệu (2+1*),211140- Kiểm thử phần mềm (2+1*),221129- Thiết kế web cơ bản (2+1*),151139- Tiếng Anh 1,211011- Toán rời rạc,111010- Xác suất thống kê,211231- Đồ án 2,211124- Lập trình Mobile cơ bản (2+1*),211034- Phân tích thiết kế hướng đối tượng với UML(2+1*),211125- Phát triển phần mềm hướng dịch vụ (2+1*),151140- Tiếng Anh 2,911504- Tư tưởng Hồ Chí Minh,121249- Vật lý kỹ thuật,211215- An toàn thông tin (2+1*),911302- Chủ nghĩa xã hội khoa học,211126- Công nghệ Web và ứng dụng (2+1*),211123- Đồ án 3,211146- Lập trình Web mã nguồn mở (2+1*),911409- Lịch sử Đảng Cộng Sản Việt Nam,151141- Tiếng Anh 3,215685- Tiếng Anh cho CNTT 1,211148- Đồ án 4,211169- Phân tích nghiệp vụ phần mềm,221125- Thiết kế đồ họa cơ bản (2+1*),231007- Thực tập doanh nghiệp,215687- Tiếng anh cho CNTT 2,211897- Trí tuệ nhân tạo,221182- AI tạo sinh và ứng dụng,231006- Đồ án 5,211803- Đồ án/Khoá luận tốt nghiệp,211152- Thiết kế UI/UX cho ứng dụng web và thiết bị di động (2+1*),211145- Thiết kế và quản trị Web mã nguồn mở (2+1*),231129- Tiếng anh cho CNTT 3
10121809,5.7,8.8,7.7,8,6.8,5.5,7.2,8.7,8.1,8,7.5,8,7.2,6.4,7,7.7,3.2,6,6.3,7.3,8.3,7.3,8.1,1.5,6.8,7.4,7.4,5.8,5.5,7.9,7,7.3,7.5,6.5,6,2.5,8.2,8.9,6.7,6.5,8,7.5,7.3,8.2,4.8,7.6,7,4,6.8,8,8.9,6.5,7.8,7.4,7.5,,8.3,7.5,6.8
12521123,5.5,9,5.2,6,3.5,3,7.8,7,6.2,6,4.8,8.8,7,6.5,6.4,7.4,3.9,5,2.9,5.9,2.8,5.5,8,6.5,5.5,1.3,7.3,5.8,4.5,6,4,6,3.8,0,5,2.5,1.5,7.6,6.4,5,6.5,6.2,6.5,6,4.5,1.8,6.8,6.7,3.5,7.9,8.5,5.5,3,6.9,6.8,,7.7,6.5,5
12521127,7.5,7.5,7.5,5,4.5,8.3,7.8,7.3,4.9,7,0,9,7,6.3,6,6.4,6.2,7,6.2,7,4.5,6.9,7.8,6,5.3,6.9,4.9,7.6,4.5,6.9,6.9,5.4,7.3,5.5,5.3,2.5,7.7,8.4,7.8,6.5,6.1,5.1,6.3,8,6.4,7.9,8,7.7,6.5,7.8,9.3,7,6.5,,,7.7,,,8.3
12521130,7.3,8,9,9,6.3,7.7,7.8,8,7.8,9,6,8.8,6.5,7,6.8,8.3,6.8,9,7.2,7.2,7.3,7.5,8.2,5,8,8.7,6.9,6.4,6.5,8.3,8.8,8.4,8.2,7.5,8.5,6,8.4,8.4,8.2,7.7,7.1,9,7.8,8.1,8.3,8.6,7,8.3,7,8.6,9.3,7,8.3,,,8.8,,,9.3
12421016,7.5,8,7.5,9,7.3,9.3,8.8,9.5,8.8,7,7.8,9.4,8,6.7,7.8,9.2,7.9,8,6.9,8.7,9,7.5,8.4,7.5,9.3,9,8.2,7.3,8.3,9.7,9.2,9,8.7,8.8,8.8,8,9.4,8.5,7.4,8.4,7.6,8.6,8.8,8.3,8.9,8.6,8,8.8,8.3,9,8.9,7.8,7.9,,,8.7,,,9.5
10121150,8.8,8.8,7,8,7.8,7.3,8.9,9.2,7.9,6,7.5,8.4,8,8,7.3,7.8,5.4,5,6.8,8.9,9,6.5,8.2,3,8.6,8.2,9,6.1,7.8,7.8,7,7.5,8,8,7.8,9,8.3,7.5,7.4,6.4,7.4,8.5,8.5,7.7,7.8,8.2,6.5,7.5,7.3,7.8,9.2,5.5,7.7,,,8.5,,,6.3
10121192,8.3,8.5,8.4,7,7.8,8,7.6,8.1,7.9,7,8.3,9.5,7.4,7.5,7.9,7.9,7.7,7,7.7,7.5,8.5,7.7,8.5,6,8.5,7.4,8.2,6.1,8.3,8.6,8,7.7,7.8,7.5,8.3,8.6,8.5,9,7.6,7.9,8.5,7.2,8,8.8,8,8.6,7.3,8,7.8,8.5,9,7.5,6.8,,,8.4,,,8.8
10121230,7.5,8,7.7,8,7,8.3,8.5,7.1,7.4,6,7.5,9,7.9,6.3,7.7,8.7,6.9,6,8.3,8.2,8.3,7.9,8,3.5,8.4,8.9,8.1,7.2,8,7.3,7.7,9.2,9.2,8.5,7.8,8.8,8.4,8.9,7.9,8.5,7.9,9.3,8.8,9,8.3,8.6,7.3,8.4,7.3,7.8,9.3,7.8,7.8,,,8.8,,,9.5
10121896,7.8,9,7.8,6,6.5,6.5,9.3,9.2,8.1,7,8.3,9,8,7.3,7.8,9.4,8,7,7.7,9.8,9.1,8.8,8.1,7.5,8,8.5,8.3,8.5,8.5,9.1,8.3,9.3,8.8,8.3,8.3,9.3,9,9.3,8.7,8.2,8.3,9,9.3,9.1,7,8.8,7.8,8.5,7,8.3,9.1,6.8,8.3,,,8.9,,,9.5
12221553,7.5,8.5,7.3,8,6.3,8.3,8,8.4,7.4,7,7.8,7.5,8,8.3,6.8,8,8.3,6,6.9,7.9,7.5,6.9,8.1,6.5,7,6.5,7,6.7,7,9.1,6.5,5.7,8.5,7.5,7.5,7.1,8.6,8.1,7.3,5.8,7.6,8.2,7.8,8.2,7,8.2,6.3,8.5,8,8.3,8.9,8,7.5,,,8.2,,,8.8
10121247,8,8,7.8,8,9,6,5,7.5,5.8,7,5.5,8.1,7.3,6.5,6.3,8.2,6.2,6,6.8,6.3,7,5.5,8.4,4,6.8,7.3,7.5,5.4,7,7.2,4.9,7.4,8.4,6.8,7,7.1,7.9,6.4,7,7.7,7.6,8.9,7.3,8.2,7.3,7.9,7.3,7.3,6.5,7.9,8.9,6,6.3,7.7,6.9,,7.6,6.8,5.5
10121313,6.3,8,7.8,6,5.5,6.2,5.8,7.5,6.3,0,8,8.5,6,6.5,6.3,7.5,5.8,8,6.4,7.3,5.5,6.9,8.6,3.5,6.5,5.4,7.5,6.1,5.5,8,5,6.6,7.7,5.8,6,6.6,8.1,7.8,7,7.3,7.4,7.7,7.3,8.1,6.5,7.7,8.3,7.9,7,8.2,8.7,5.8,5.8,,,7.8,,,7.8
12521143,6.5,8,7.8,8,6,7.4,7.2,7.8,7.3,6,5.3,7.7,6.4,7.4,6.8,8.4,6.3,6,6.3,7.9,2,6.2,7.7,4.5,0,3.8,2.1,2.5,2.5,8.5,1.5,4.2,0.3,0,0,2.5,0,0,0,6.7,7.1,8.2,6,7.5,6.5,8.1,7.8,7.5,6.5,7.7,8.9,7,5.8,,,8,,,8.8
10121934,8.8,9,7.3,7,8.5,7,7,9.2,8,8,8.5,8.2,7.2,6.8,7,7.2,8.8,5,7.7,7.8,8,8.5,8.4,2.5,7.3,7.4,7.5,6.6,8,8.6,7.9,9.6,8.2,7.8,8.3,7,8.1,9.2,7.9,8,7.8,8.9,8.5,8,8.5,8.5,8.3,8.4,7.3,8.7,8.5,7.3,6.8,,,9,,,8.3
10121943,8.8,9,6.8,6,7,7.8,8,8.7,8.3,7,7.8,8.3,7.5,7.2,7,6.1,7.3,5,6.8,7.9,8.1,7.7,8.7,2,7.5,7.5,7.7,7.1,7.8,8.7,7.8,8.8,7.5,7.5,7.5,7,8.5,7.1,7.6,7.8,8.4,7.1,7.8,8.9,8,8.2,6.8,8.7,7.5,7.7,9.3,8.3,5.5,,,8.9,,,9
10121085,9.2,8.8,7.8,9,8.5,6.2,6.2,8.2,6,7,7.3,8.2,6.7,8,6,7.9,2.9,6,7.3,7.3,5,6.2,8.4,2.5,6.3,6.8,6,5.4,8,8.5,7,5.7,6.9,5.5,7.3,2.5,8.3,6.9,6.6,5.5,7.5,7,6.5,7.5,6.5,8.3,6.5,3.5,7,8.4,8.7,6.8,6.3,,,7.8,,,7.5
10121571,7.8,8.3,7.4,7,7,6.9,6.9,7.2,6.1,6,7.3,8.6,7.2,6.7,7.4,7.5,5.8,6,7.2,7,7.5,6.4,8.4,2.5,7.1,7,7.1,5.4,6.8,7.6,4.9,7.2,7.8,6.5,7,6.7,8.5,8.2,6.8,6.9,7.6,8.3,7.3,7.4,7.5,7.9,7.5,7.5,7.3,7.6,9.1,6.8,7.3,,,8,,,5.8
10121284,5.5,8,7.5,6,6.3,5.8,4.4,5.2,6.3,8,0,7.2,7.5,6.8,6.9,5.2,5.8,8,6.4,7.3,4.5,6.3,8.1,1,5.5,,5.3,6,4.9,,6.3,4.1,5.3,4.8,4.8,6.4,5.3,6.5,6.4,,8.3,6.4,6.8,6.3,,7.8,6.3,5.3,7,7.4,6.5,6.8,5.5,7,8.5,4.5,6.4,7.2,7
10121742,8.5,9,8.8,7,5.5,6.2,6.9,7.1,7.5,8,4.8,7.9,7.9,7.3,7.5,7.9,6.9,7,5.9,7.7,6.5,6.3,7.7,3,6,,6.7,6,5.9,,6,7,4,5.8,7,7.3,7.3,7.5,9,,7.6,6.2,6.3,6.7,,8,6.6,7.4,7.3,7.9,7.3,7.2,7.3,8,9.5,6.3,6.6,,
12521063,8.5,7.8,7.2,7,7.3,6.3,5.7,5.7,7.7,8,0,6.9,6.2,6.2,6.4,5.3,5.4,8,6.9,6.7,5.3,6,6.9,2,6.5,,5.8,6.4,6.2,,6.5,6.3,4.5,5.8,7.8,6.5,6.5,6,7.3,,6.3,5.6,4.3,6.2,,7.7,6.2,6.2,7.9,7.5,6.3,7.2,7,7,9.2,6,8.1,,
12521109,9,9,8.4,9,7.3,7.3,5.7,6.6,6.4,6,4.3,7.7,7,7.9,7.3,6.2,6.5,6,7.2,7.3,3,5.8,7,2,3,,5.5,3.2,6.3,,5.5,5.4,5.5,4.9,0,6,7.3,0,8,,8.2,6,6,8.3,,8.4,7.4,6.7,8.1,8.3,8,6.7,5.8,6.5,9,6.5,8.6,,
10121597,6.4,8.3,8,7,6.5,6.3,5.8,6,4.8,7,7.3,8,5.7,6.8,6.7,0,5.8,5,5.5,6.7,5,6,6.7,3,6,,6.4,6.2,5.6,,6.8,6.8,5.5,5.9,6.5,7,7,7,7.4,,7.5,3.4,7,5.9,,7.5,7.1,7.4,7.1,7.1,6.3,7.8,7,7,9.2,5.8,7.8,,
10121154,6.5,7.8,7.7,7,5.5,6,7.5,6.7,5.1,6,4.5,7.9,7.2,5.3,7.5,6.5,6.8,9,5.5,7.2,7,5.9,8.2,2,7,,5.9,7.6,7,,7.8,5.3,5.3,5.5,8.5,8,7.3,7,7.6,,6.3,5.4,8.3,6,,8.3,6.3,7.7,8,7.2,6.8,7.7,7.3,7.5,8.5,4.8,6.5,,
12521110,8,9,7.7,7,7.8,5.5,5.2,7,7.4,7,7.5,8.8,7.2,7.8,6.3,5.9,7.5,6,7.8,8.2,2.8,6.9,7.9,3,7.3,,7.4,7.4,6.4,,7,6.3,8,8.5,7.8,7.4,7.3,7.8,8.3,,8.4,6.9,9,7.2,,8.5,7.3,7.8,8.2,8.5,7.3,8.2,7.3,7.5,9.2,7,8.1,,
10121756,5.7,8.8,7.5,6,7.8,7.8,6.4,7.7,6.6,7,4,7.7,7.5,7.2,6.5,0,2.9,7,6.4,7.3,5.5,6.8,9.3,3.5,7,,6.9,7.7,8,,7.3,7.4,8,7.4,7.8,7.3,8.5,7.3,8.6,,7,4.8,8.5,7,,8,7.8,7.4,7.3,8.1,8.3,7.3,7,8.5,9.2,7,7.5,,
12521114,9,10,8.4,9,5.5,5.4,7.2,6.8,6.9,8,4.5,8.4,7.8,8.5,6.4,6.2,7.2,7,6.7,7.4,7.5,7.7,7.8,2,6,,7.7,6.6,5.8,,6.8,5.9,3.3,7.7,7,6.3,5,7,8.2,,7.6,5.6,8.8,7.9,,8.3,7.1,8.2,7.7,8,8.3,7.4,7,7.5,9.2,8.5,8.7,,
10121497,7,7,8.2,9,7.5,8.3,7.4,5.5,7.1,9,4,8.2,7.4,6.7,7,6.2,6,7,7,7,5.5,5.7,3.8,1.5,2.5,,2.7,1.8,7,,8,4.8,5.8,3.8,6.8,5.9,6.8,0,7.1,,7.8,5.8,7.8,6.6,,7.5,0.9,6.7,7.7,7.3,7,7.1,6.5,7.5,9.2,5.8,7.9,,
10121763,9.3,10,8.8,8,9.3,8.7,9.3,8.9,9.2,6,8,7.6,7.7,7,8.5,8,7.7,6,7.9,9.3,8.5,7.9,8.3,3.5,8,,8.5,8.9,8.8,,9,7,8.3,8.3,8.5,9.3,8.3,8,9.5,,8.5,7.9,8,8,,9,8.5,9,8.4,9.1,9,8.9,8,8,9.8,8.5,8.6,,
12521102,6.5,8,8.2,8,8.3,8,6.3,6.4,7.5,5,6,7.9,7.3,7.5,7.8,6.9,7.5,6,6.4,7.5,6.5,7.2,7.3,1,7.8,,7.5,7.1,6.6,,8,6.7,7.3,7.7,7.8,7.2,6,7.3,8.2,,7.8,6.2,7.5,6.9,,7.8,6.9,6.6,8.5,7.9,5.8,7.8,7,8,9.2,6.5,7.2,,
12521021,5.5,8,7,7,5.3,6.5,5.4,5.2,6.4,6,5,7.2,7.9,6.2,6.5,6.8,5.5,5,6.2,7.8,6,5.9,7.2,4,6.3,,6.2,6.1,5,,7.3,7.2,5.3,5.9,8,7,6.5,6.8,7.5,,7.4,6.9,6.5,5.9,,7.4,6.7,7.1,6,7.7,8.3,7.1,6.5,7,9.2,6,7.3,7.3,7.4
10121073,6.5,7.8,7.8,8,7.3,8.1,5.7,6.6,6.8,8,6.5,8,6.9,8.3,7.2,0,5.7,8,6.5,6.8,6,5.9,7.2,3,6.3,,5.4,2.9,6.5,,6.3,6.4,4.2,5.2,7,7.3,8.5,7,8,,7.5,6.4,6.5,6.7,,7.7,6.8,7.2,7.3,7.8,5.5,7.4,7,7.5,9,5,7.9,,
10121430,8.3,7,7.9,9,7.3,6.3,5.4,6.7,6.4,6,0,7,6.5,6.7,6.8,6.8,6,7,6.2,7.7,2.5,6.7,6.7,2,6.3,,6.9,2.9,7.2,,3.3,4.2,0,4.5,7.5,6.8,7.3,7,7,,7.7,5.2,6.5,6.1,,7.9,7,7.3,7.3,7.6,7,7.7,6.8,7,8.8,5,7.9,,
12521024,8.3,8.5,8.2,7,6.8,6.5,7,6.1,6.5,5,6,8.5,7.9,6.9,7.8,5.7,3.4,5,6.2,7.3,6,6.9,7.3,2,6.8,,7.9,7,6.3,,7,4.5,6,6.6,7.8,7,6.3,6.8,8.3,,8.1,6.3,7.8,6.4,,8.1,6.9,6.4,7.1,7.9,7.5,7.7,7.3,8,9.6,7,6.8,,
12521169,8.8,9,8,8,9.3,7,7.3,8.3,7.3,10,7.5,8.4,7.5,7.9,7.2,7.4,7.8,9,8,7.9,8.3,6.9,8.4,2.5,7.3,,7.8,7,7.6,,9.3,6.5,7,7.8,7.8,8.8,8,8,8.7,,8.1,6.5,8.5,6.6,,7.9,7.1,6.9,7.9,8.4,9,7.7,7.8,9,9.6,7,7.9,,
10121436,7,7.5,7.5,5,6,6,5.9,5.7,5,0,0,6,7.2,6.4,5.3,0,0,5,0.5,6.4,2,1.5,1.2,1.5,2.5,,5.3,1.8,5.4,,3.3,0,0,4.3,6.5,5.4,5.8,5.8,7.4,,6,4.5,6.5,4.9,,7.3,5.7,5.7,6,0,6.8,6.2,6.5,6,8.5,4.5,7.2,6.7,7
10121108,8.8,7.8,7.5,9,7.5,7.4,0,7.5,7.4,0,7.5,7.7,5.4,7,6.3,5.8,2.9,7,5.9,6.7,5.5,6.8,6.8,2,6,,7.8,1.7,6.3,,5.8,5.1,5,4.2,8,6.5,2,6.3,8.4,,6.8,6.4,5.8,6.4,,6.5,5.8,6.3,6.7,8.3,6,7.4,3.3,7.5,8.6,6,8.2,,
10121665,8.3,8,8.5,9,5.8,8,7,6.5,7,5,6.5,7.5,6.7,7.5,8,6.7,7.5,6,8,8.2,7,7.9,8.4,2.5,8,,8.2,6.5,7.1,,6.5,5.3,7.5,8.4,8,8,8.8,8,8.6,,7.1,6.7,8.8,7.2,,9.5,7.8,8.6,8,8.1,8.5,8.3,8,9,9.7,7.8,7.9,,
10121322,9.4,9,8,8,6.5,7.2,5.4,7.5,8.2,6,0,7.7,4.3,7.7,6.8,6.3,3.3,6,6.4,8.4,3.5,6.9,7.4,5.5,8,,7.7,7.3,7.7,,8.1,5.6,6.2,7.5,7,6.3,7.5,7.3,8.6,,7.9,7.2,8,7.3,,8,7.2,6.8,7.8,8,8,6.9,6.8,8,9.2,6.8,8.3,,
10121544,7.2,8.3,8,6,7.5,5.7,5,6.7,7.7,7,6.8,8.5,6.7,7.8,6.5,7,6.5,6,6.8,7.9,3,6.7,8,2.5,8,,7.7,7.3,6.4,,6.5,6.2,6,7.8,7.3,8.4,8,7,8.5,,7.4,7.3,8.3,7,,7.7,7.3,7.1,8.5,8,8.8,6.8,7.3,8,9.2,6.8,7.8,,
12521135,8.8,8.5,8,8,8.5,7.3,7.9,7,8.9,8,8.8,8.9,7.7,8.3,8,7.3,9.2,6,7.3,7.9,8.5,7.4,8.4,3.5,7,,8,7.6,8.2,,7.3,5.7,7.2,9.5,7.8,7.7,8.8,7.8,8.5,,8.5,7.4,8.3,7.4,,8.7,7.7,7.4,8.8,7.9,8.5,6.8,7.8,7.5,9.4,8,7.4,,
12521100,8.8,8,8.9,9,7.8,7.4,7,7.2,7.1,7,6,8.5,7.3,7.4,6.9,6.4,8.5,6,7.2,8.3,8,6.7,8.2,2.5,7.3,,7.8,7,8.2,,7,5.7,7.3,9,7.3,8.4,8,8,8.5,,8.6,8.2,9,7.6,,8,7.4,7.1,7.9,7.8,7.8,7.2,7.3,8,9.5,5.8,7.1,,
12521093,6.3,8,8.3,6,5.5,6.2,7.2,6.9,5.4,6,0,8.6,6.2,6.8,7.3,6.2,6.7,7,7.2,8.2,5.5,6.3,7,0,5.8,,7.5,3.2,5.9,,5,6.5,5,7.1,7.5,5.8,7.3,5.5,8.6,,7.6,3.8,5.8,6,,6,6.6,5.5,7.9,8.1,7.3,6.3,6.5,7,8.6,4.5,6.8,7.7,8
10121884,7.4,8.8,7.5,7,7.8,6.5,7,6.1,7.7,8,6.3,7.7,6,8.3,6.5,7.2,7.3,7,6.8,8,4.5,6.7,8.9,4,6.5,,7,6.4,7.7,,6.5,5.7,6.4,7.3,7,7.8,8,7.3,8.7,,8.5,7.5,8,7.6,,7.9,6.9,7.9,7.8,8.2,8,7.3,7.5,8,9.7,6.5,7.8,,
12421015,8.7,8.8,8.5,9,8.3,6,6.8,8.2,8.2,7,8.8,8.4,7.2,7,7.3,7.3,9.2,6,6.8,8.4,3.5,8.2,8.9,3.5,8,,8.4,8.2,8.2,,7,5.7,9.5,8.8,7.5,8.8,8.8,7.8,8.1,,7.9,7.5,9,7.7,,9.4,7.5,8.1,7.2,8.3,9,6.9,7.5,8.5,9.2,7.5,8,,
10121891,9.3,8,8.5,8,9.5,6.8,8.7,8.9,8.6,7,6.5,7.6,7.9,7.7,8.2,7.7,8.3,5,8.2,9.5,8,7.9,8.3,4.5,8,,8.5,8.1,8.7,,7.5,7.4,8.3,8.5,8.3,8.8,8.8,8,9.2,,9,7.5,8.5,8.2,,9.3,8.2,8.4,8.2,7.9,8.8,7.7,8,8,9.7,8,8.4,,
12521099,9,9.3,8.3,7,8,7.9,7.3,6,7.3,7,6.8,8.6,7.8,8.4,7.8,6.3,5.7,7,6.9,8.4,6.8,6.7,8.3,2.5,7,,8.2,7.1,7.8,,8.5,4.6,7,7.9,7.5,8.8,8,7,8.4,,8.6,5.7,7.8,7.5,,8.4,7.7,6.7,7.9,8.3,7.5,7.5,7.8,8.5,9.7,6,7.1,,
10121029,5.5,8,6.5,7,5.8,5.2,5.9,6,4.8,9,8.8,8.9,6.2,5.3,7.4,5.8,6.3,8,6.7,6.5,5.5,5.9,8.4,2.5,7.3,,2.9,3.2,7.9,,4,4.8,6,5.7,7.5,8,7.3,7,8.1,,8.2,5.7,6.3,6.6,,8.2,6.7,6.9,6.7,6.8,5.8,7.6,7,9,9.3,6,7.9,,
10121541,8,7,7.8,6,5.8,6.7,7.2,6.7,7,7,5.3,6.8,7.8,5.2,6.3,5.8,3,8,6.3,7.4,6.5,5.4,1.2,1.5,6.8,,7.9,3.2,6.9,,7.3,4.8,5.8,5.5,7,7.8,6.3,6.8,0,,6.8,7.2,8,7.7,,7.6,7,7.2,6.5,8.1,5.5,6.9,6.5,9,8.8,5,7.2,,
12521161,9,10,8.7,8,7.3,7.3,7.9,8.7,9,6,7.3,7.8,7.8,7.2,7,7.4,7.3,8,7.5,7.2,8,7.2,8.3,4,7,,7.5,6.9,7.9,,4.3,6.1,5.8,5.2,7.8,8,8.5,7,8.6,,8,7.8,7.3,7,,8.3,6.7,7.4,8.6,8.2,6.5,8.7,7,8,9.3,7.5,7.7,,
12521146,8.8,8.5,8,9,8.5,7.2,7.3,8.4,8.9,9,8.8,9.1,6.5,8.5,8.3,6.4,7.3,8,7.5,7.7,5.5,6.7,7.8,3.5,7,,6.9,7.4,7.2,,7.8,4.9,5.8,8.3,6.8,6.8,6.5,7.5,8.8,,7.6,6,8.3,7.2,,8.7,7.2,7.6,7.9,8.3,7.5,7.7,7.5,7.5,9.4,6.8,7.4,,
10121911,6.7,8.8,7.9,8,8,7,6.5,5.7,7.9,8,6.5,7.5,7.2,7.5,6,6.1,6.5,6,6.2,7.4,5.5,6.9,8.8,3.5,6,,7.8,7.3,7,,7.3,6.3,7.2,6.9,6.8,7.3,7.3,8,8.7,,8,6.4,8,6.9,,7.3,7,7.7,7.8,8.4,8.5,7.4,7,7.5,8.8,7,7.2,,
10121372,8,7,7.2,7,6,7,5.8,7.3,6.4,8,0,7.1,7.8,7.3,6.9,0,2.9,7,6.8,7.2,2,6.2,2.2,0.5,2.5,,2.5,0,6.1,,2.5,0,0,5.8,6.5,5.8,5.3,5.8,8,,7.5,5,6.8,6.8,,6.5,5.7,5.5,6.9,7.6,3.5,6.3,6,7,8.6,4.5,7,7.7,8.5
12521026,8.9,8.5,8.5,9,6.5,6.9,6,7.2,7.8,9,0,7.9,7.4,7.9,7.3,6,6.3,6,7.5,6.7,3,6.4,8.7,0,6,,7.5,8.1,6.8,,6.8,5.8,5.8,6.8,8.3,7.5,7.3,7,7.8,,7,5.2,8.3,6.5,,8.4,7.5,8.1,7.4,7.7,8.5,8.8,7,7.5,9.3,5.5,8.7,,
10121951,6.3,7,7.3,6,6,6,7.4,8.3,7.2,9,5.3,7.3,7.8,6.2,6.3,6.4,7.3,8,3.5,7,7,6.5,8.2,2.5,7,,3.5,6.2,7,,5.5,6.9,5,7.8,6.3,7,6.5,6.5,8.1,,7.6,7.3,8.3,7,,7.1,6.6,7.7,7.8,8.1,8,7.3,6.5,7.5,8.7,5.5,7.8,,
10121504,5.8,7,6.9,8,6.5,6.2,5.7,5.8,5.1,6,0,7.7,8.2,5.9,6,6.8,5.4,8,6.4,6.9,2,5.8,2.6,2.5,2.5,,2.5,0,5.7,,2.5,0,0,4.8,7.5,2.7,2,5.8,7.1,,6.3,7.2,6.8,7.1,,6.4,6,5.7,6,7.1,7.3,6.3,6.5,7,9,4.5,7.9,6.9,6.8
11421026,6.7,8.5,8.2,8,5.5,7.8,5.5,4.3,6.1,6.7,6,5.5,8.4,5.4,7,6.4,6.3,7,5.8,6.5,5,5.5,7.9,0,6,7,7.6,5.5,7,4.8,6.3,5.2,6.3,7,5.3,2.5,7.7,8.7,6.8,7,7.2,6.8,7.2,6.8,6.1,8,7.8,8,6,8.4,9.3,6,8.2,7.7,7,2.8,150,,
10121791,7.9,8.3,8.4,7,8,7.8,5.5,6.2,5.2,7.5,9,6,7.8,6.4,6.4,7.3,5.5,7,7.2,7.3,2,6.2,8.4,5.5,7,6.5,6.7,5,4.5,7.4,6.5,8.8,7.5,8.3,6,2.5,7.9,6.7,7.7,4.8,6.7,4.5,8.5,6.5,6.2,8.4,8,8.9,6.8,8.7,9.2,6.3,8.1,7.9,6.3,3,150,,
12021037,8,8.3,8.7,7,7.3,7.5,6.7,6.7,7.2,7.3,7,5.5,7.5,7.3,7.2,7.4,6.9,6,6.3,7,7.5,6.7,8,0,6.3,6.4,7,4.5,5,3.8,7.4,8.3,6.9,7.8,6.3,2.5,7.7,6.4,7,6.8,7.9,4.5,8.5,5.5,7.6,7.8,7.8,8.3,6.5,6.7,9,5,7.5,8.2,5,2.9,150,,
10121794,9.5,10,8.5,8,9.3,9.3,9.3,8.3,8.6,9.3,8,8,8.8,8.8,8.8,9,9.4,7,8.2,8.4,9,7.7,8.4,6,8,8.7,8.3,8.6,9,8.2,9.5,9.8,8.9,9.3,9.5,9.5,9.1,9.3,8.9,9.3,9.6,8,8.7,9,9.1,8.4,9.5,8.5,8,9.1,9.7,9,9,9,8.8,3.6,150,,
10121808,9,9.5,7.5,7,8.3,7.5,6.3,8.2,7.9,7.8,0,6.8,8,7.4,7,7,7.1,6,6.5,8.5,8.8,7.2,7.9,4.5,6.5,6.8,8.5,7,8.5,3.9,7,7.3,8.9,8.8,8,9,7.6,8.5,6.9,6.5,7.3,8,8,8.3,7.7,8,8,8,7.3,8.1,9.5,6,6.4,7.9,7.3,3.1,150,,
12421040,9.2,9,7.9,8,6.5,7.3,6.2,7.5,6.1,7.5,7,5.5,8.4,7.5,7.7,7,6.3,7,7.4,7.8,7.3,6.8,7.5,5.5,6,7.2,7,5.1,4.5,6.1,6.5,8.3,7.7,7.5,6.3,2.5,8.1,7.2,6.8,6.3,6.7,4.5,6,5.8,6.5,7.9,8.5,6.8,6.3,7.4,9.2,7,6.3,7.9,7,2.9,150,,
12521122,9,9.5,7.4,7,9,9,7.2,8.8,9.5,9,8,8.5,8.4,7.7,7.7,8,7.9,7,7.8,9.2,9.5,7.2,7.9,4,8.3,8.2,8.6,7.8,8.1,7.2,9,9.3,8.9,9.5,8,8.5,8.6,8.2,8.6,8.5,7.8,8,7.7,6.5,8.1,8.4,8.8,8,8,8.1,9,7.3,9,8.1,7.5,3.3,150,,
10121012,9.2,10,7.7,8,7.5,8,6.2,7.2,6.7,7.9,8,8.3,8,8,6.7,7.5,5.8,6,6.4,8.4,8,6,7.9,5.5,6.3,7.4,8,6.5,6.5,5.8,5.2,6.4,7.4,7.8,6.5,6.8,6.8,8.1,7.1,4.5,7.5,8.5,5.8,6,7.1,7.7,7.5,7.8,7,8.1,9.3,6.8,7.5,8.1,6.8,3,150,,
10121378,8.5,9,7.7,6,8,8,6.5,7.3,5.5,7.7,6,6.5,8.7,6.5,7.2,6.8,3.7,9,6.2,7.2,7.5,5.7,7.2,5,7,6,6.3,5.6,6,5.8,7,5.6,7.2,7.3,6.3,7,7.4,7.8,7,7.5,7.6,4.5,7,5.8,8,8.4,7.8,7.4,6.3,7.7,9,5.3,7.6,8,5.8,2.9,150,,
